"Team","Player_Rater"
"$",24.4
"COGO",13.98
"GRAF",12.64
"JEFF",21.18
"LGM",20.95
"LOY",21.59
"MASO",14.9
"O'S",18.77
"SICK",14.59
"WAR",14.57
